"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2025-12-01,2025-12-31,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟏𝟎+𝟏)tattoo📈OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",11,actions:onsite_conversion.messaging_conversation_started_7d,1196,2206,29.37363636,"Above average","Above average",Average,323.11,2026-02-21,18,9,,,,,35.901111,11,29.373636,,,49
2025-12-01,2025-12-31,"R5 5600G 8 MID PARANAQUE📈OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",635,actions:onsite_conversion.messaging_conversation_started_7d,31651,57849,12.0340315,"Above average","Above average","Above average",7641.61,2026-02-21,734,533,5,1528.322,,,14.336979,635,12.034032,,,1644
2025-12-01,2025-12-31,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟖𝐏𝐂𝐒) north cal📈OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",309,actions:onsite_conversion.messaging_conversation_started_7d,22683,49253,18.66459547,"Above average","Above average","Above average",5767.36,2026-02-21,358,254,5,1153.472,,,22.706142,309,18.664595,,,1088
2025-12-01,2025-12-31,"R5 5600G 4 MID HIGHLIGHTS📈📈OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",124,actions:onsite_conversion.messaging_conversation_started_7d,9289,19809,22.16653226,Average,"Above average","Above average",2748.65,2026-02-21,159,84,,,,,32.722024,124,22.166532,,,500
2025-12-01,2025-12-31,"6 trad san mateo (winning) OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",282,actions:onsite_conversion.messaging_conversation_started_7d,15668,34126,15.19794326,Average,"Above average","Above average",4285.82,2026-02-21,340,220,3,1428.606667,,,19.481,282,15.197943,,,869
2025-12-01,2025-12-31,"r5 5600g 10+1+1 norzagaray OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",273,actions:onsite_conversion.messaging_conversation_started_7d,15083,35324,18.87846154,Average,"Above average","Above average",5153.82,2026-02-21,368,187,8,644.2275,,,27.560535,273,18.878462,,,871
2025-12-01,2025-12-31,"r5 5600g 8pcs norzagaray OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,383,657,92.2,-,-,-,92.2,2026-02-21,5,,,,,,,1,92.2,,,8
2025-12-01,2025-12-31,"r5 3400g 8+1 gaya gaya OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",265,actions:onsite_conversion.messaging_conversation_started_7d,18600,36797,16.62932075,"Above average","Above average","Above average",4406.77,2026-02-21,336,182,5,881.354,,,24.213022,265,16.629321,,,906
2025-12-01,2025-12-31,"r5 5500 rx580 10+1 novaliches qc OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,270,369,17.76,-,-,-,53.28,2026-02-21,5,3,,,,,17.76,3,17.76,,,7
2025-12-01,2025-12-31,"r5 5600g 8+1 paranaque OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,557,873,45.85666667,-,-,-,137.57,2026-02-21,6,3,,,,,45.856667,3,45.856667,,,13
2025-12-01,2025-12-31,"R7 NEW PINK OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,1288,1819,23.561,"Above average","Above average",Average,235.61,2026-02-21,16,6,2,117.805,,,39.268333,10,23.561,,,20
2025-12-01,2025-12-31,"RYZEN 7 5700X 4060 ROBIN OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",94,actions:onsite_conversion.messaging_conversation_started_7d,4417,10320,20.67031915,"Above average","Above average","Above average",1943.01,2026-02-21,125,78,6,323.835,,,24.910385,94,20.670319,,,256
2025-12-01,2025-12-31,"R7 5700X 4060 Y68 OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",28,actions:onsite_conversion.messaging_conversation_started_7d,2158,5357,47.79,"Above average","Above average",Average,1338.12,2026-02-21,43,20,4,334.53,,,66.906,28,47.79,,,203
2025-12-01,2025-12-31,"R5 5600G POSEIDON OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",108,actions:onsite_conversion.messaging_conversation_started_7d,5463,11342,19.64666667,"Above average","Above average","Above average",2121.84,2026-02-21,134,81,5,424.368,,,26.195556,108,19.646667,,,282
2025-12-01,2025-12-31,"RYZEN 5 PINK OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",654,actions:onsite_conversion.messaging_conversation_started_7d,30915,71110,14.22370031,"Above average","Above average","Above average",9302.3,2026-02-21,782,557,11,845.663636,,,16.700718,654,14.2237,,,1578
2025-12-01,2025-12-31,"𝐓𝐇𝐄 𝐑𝐘𝐙𝐄𝐍 𝟗 𝟑𝟗𝟎𝟎𝐗 OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",76,actions:onsite_conversion.messaging_conversation_started_7d,4478,10428,25.57407895,Average,"Above average","Above average",1943.63,2026-02-21,102,59,2,971.815,,,32.942881,76,25.574079,,,293
2025-12-01,2025-12-31,"r7 5700x rtx3060 robin digital white OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,1173,2444,51.572,Average,"Above average",Average,515.72,2026-02-21,24,5,,,,,103.144,10,51.572,,,68
2025-12-01,2025-12-31,"r7 5700x rx6600 robin digital white OK",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,243,295,28.65,-,-,-,28.65,2026-02-21,5,,,,,,,1,28.65,,,7
