"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2026-01-01,2026-01-27,"NEW 10+1 MINUYAN📈OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,178,228,,-,-,-,20.54,2026-02-21,1,,,,,,,,,,,4
2026-01-01,2026-01-27,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟏𝟎+𝟏)tattoo📈OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,667,1017,26.405,Average,"Above average","Above average",105.62,2026-02-21,8,3,,,,,35.206667,4,26.405,,,34
2026-01-01,2026-01-27,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟖𝐏𝐂𝐒) north cal📈OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",278,actions:onsite_conversion.messaging_conversation_started_7d,22268,39076,11.4468705,"Above average","Above average","Above average",3182.23,2026-02-21,335,245,4,795.5575,,,12.988694,278,11.446871,,,934
2026-01-01,2026-01-27,"R5 5600G 4 MID HIGHLIGHTS📈📈OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",183,actions:onsite_conversion.messaging_conversation_started_7d,19260,30837,13.28355191,"Above average","Above average","Above average",2430.89,2026-02-21,213,137,,,,,17.743723,183,13.283552,,,705
2026-01-01,2026-01-27,"6 trad san mateo (winning) OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",1212,actions:onsite_conversion.messaging_conversation_started_7d,56348,122880,7.4360396,Average,"Above average","Above average",9012.48,2026-02-21,1329,1011,2,4506.24,,,8.914421,1212,7.43604,,,3138
2026-01-01,2026-01-27,"r5 5600g 8pcs norzagaray OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",,,426,550,,"Above average","Above average",Average,58.02,2026-02-21,2,,,,,,,,,,,12
2026-01-01,2026-01-27,"r7 5700g 10+1 tanza OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,685,1070,30.955,"Above average",Average,Average,123.82,2026-02-21,7,3,,,,,41.273333,4,30.955,,,15
2026-01-01,2026-01-27,"r5 5500 rx580 10+1 novaliches qc OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,580,760,26.82,"Above average",Average,Average,80.46,2026-02-21,3,2,,,,,40.23,3,26.82,,,10
2026-01-01,2026-01-27,"r5 5600g 8+1 paranaque OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",13,actions:onsite_conversion.messaging_conversation_started_7d,998,1474,13.09384615,Average,"Above average","Above average",170.22,2026-02-21,17,10,,,,,17.022,13,13.093846,,,27
2026-01-01,2026-01-27,"R7 NEW PINK OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",43,actions:onsite_conversion.messaging_conversation_started_7d,4551,7143,17.01953488,Average,"Above average","Above average",731.84,2026-02-21,55,34,1,731.84,,,21.524706,43,17.019535,,,91
2026-01-01,2026-01-27,"RYZEN 7 5700X 4060 ROBIN OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",73,actions:onsite_conversion.messaging_conversation_started_7d,4684,10240,19.72520548,"Above average","Above average","Above average",1439.94,2026-02-21,97,62,,,,,23.224839,73,19.725205,,,201
2026-01-01,2026-01-27,"R7 5700X 4060 Y68 OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",35,actions:onsite_conversion.messaging_conversation_started_7d,2839,5390,21.20485714,"Above average","Above average",Average,742.17,2026-02-21,44,26,,,,,28.545,35,21.204857,,,156
2026-01-01,2026-01-27,"R5 5600G POSEIDON OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",85,actions:onsite_conversion.messaging_conversation_started_7d,5561,10978,17.98917647,"Above average","Above average",Average,1529.08,2026-02-21,109,62,1,1529.08,,,24.662581,85,17.989176,,,244
2026-01-01,2026-01-27,"RYZEN 5 PINK OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",799,actions:onsite_conversion.messaging_conversation_started_7d,38964,86784,11.00370463,"Above average","Above average","Above average",8791.96,2026-02-21,885,687,5,1758.392,,,12.797613,799,11.003705,,,1777
2026-01-01,2026-01-27,"𝐓𝐇𝐄 𝐑𝐘𝐙𝐄𝐍 𝟗 𝟑𝟗𝟎𝟎𝐗 OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",192,actions:onsite_conversion.messaging_conversation_started_7d,12505,29467,16.5909375,"Above average","Above average","Above average",3185.46,2026-02-21,249,133,8,398.1825,,,23.950827,192,16.590938,,,740
2026-01-01,2026-01-27,"r7 5700x rtx3060 robin digital white OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,928,1374,46.38,Average,"Above average","Above average",185.52,2026-02-21,6,1,,,,,185.52,4,46.38,,,33
2026-01-01,2026-01-27,"r7 5700x rx6600 robin digital white OK",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,413,520,9.74666667,"Above average","Above average",Average,29.24,2026-02-21,3,3,,,,,9.746667,3,9.746667,,,6
2026-01-01,2026-01-27,"r7 5700g robin digital white OK G",active,"ALL REELS PC SET",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-11-21T18:16:23+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,404,599,12.8075,"Above average","Above average",Average,51.23,2026-02-21,5,2,,,,,25.615,4,12.8075,,,4
2026-01-01,2026-01-27,"DAN TRES G",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",164676,reach,164676,183126,8.56585052,Average,-,-,1410.59,2026-02-21,3,3,,,,,470.196667,3,470.196667,,,129
2026-01-01,2026-01-27,"DEC 2025 - FEB 2026 COMSHOP",active,"PC SET AND COMSHOP 25 26",0,ABSOLUTE_OCPM,"Using campaign budget",0,2026-01-03T16:37:05+0800,"7-day click or 1-day view",106,actions:onsite_conversion.messaging_conversation_started_7d,7422,20495,29.87103774,"Above average","Above average","Above average",3166.33,2026-02-21,145,73,4,791.5825,,,43.374384,106,29.871038,,,365
2026-01-01,2026-01-27,"11/14/25 Legit builds come with proof, not promises. G",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",41639,reach,41639,43344,8.1644612,Average,-,-,339.96,2026-02-21,2,2,,,,,169.98,2,169.98,,,23
2026-01-01,2026-01-27,"11/14/25 Vlog/Store Update G",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",17000,reach,17000,17612,7.43588235,Average,-,-,126.41,2026-02-21,,,,,,,,,,,,20
2026-01-01,2026-01-27,"R5 5600G 10+1 DP 11/21/25 OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",28,actions:onsite_conversion.messaging_conversation_started_7d,2014,3257,11.76964286,Average,"Above average",Average,329.55,2026-02-21,32,17,,,,,19.385294,28,11.769643,,,74
2026-01-01,2026-01-27,"December 2025 Raffle",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",19871,reach,19871,19871,6.72990791,Average,-,-,133.73,2026-02-21,,,,,,,,,,,,12
2026-01-01,2026-01-27,"Update Raffle",active,"AWARENESS VIDEO - VLOG|UPDATES|COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",268987,reach,268987,308403,7.60687319,Average,-,-,2046.15,2026-02-21,10,10,,,,,204.615,10,204.615,,,441
2026-01-01,2026-01-27,"R5 5600G 8 MID PARANAQUE📈OK G",active,"ALL REELS SHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",776,actions:onsite_conversion.messaging_conversation_started_7d,35944,72182,9.32444588,"Above average","Above average","Above average",7235.77,2026-02-21,877,668,8,904.47125,,,10.831991,776,9.324446,,,2293
