"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2025-09-01,2025-09-30,"R7 5700G PINK VIRAL",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,"7-day click or 1-day view",839,actions:onsite_conversion.messaging_conversation_started_7d,47749,102207,12.18275328,-,-,-,10221.33,2025-11-23,949,733,2,5110.665,,,13.944516,839,12.182753,,,1831
2025-09-01,2025-09-30,"R7 5700X 4060 BLACK",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,"7-day click or 1-day view",30,actions:onsite_conversion.messaging_conversation_started_7d,2361,3569,20.218,-,-,-,606.54,2025-11-23,44,21,,,,,28.882857,30,20.218,,,151
2025-09-01,2025-09-30,"R7 5700X 4060 Y68",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,"7-day click or 1-day view",254,actions:onsite_conversion.messaging_conversation_started_7d,12113,23832,13.16834646,-,-,-,3344.76,2025-11-23,299,216,1,3344.76,,,15.485,254,13.168346,,,898
2025-09-01,2025-09-30,"R5 5600G POSEIDON",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-18T19:17:25+0800,"7-day click or 1-day view",230,actions:onsite_conversion.messaging_conversation_started_7d,13364,27022,17.84891304,-,-,-,4105.25,2025-11-23,285,196,2,2052.625,,,20.945153,230,17.848913,,,569
2025-09-01,2025-09-30,"BERMONTHS 2025 LAPTOP📈",not_delivering,"IMG BROCHURE PERSONAL, COMSHOP, AND LAPTOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",135,actions:onsite_conversion.messaging_conversation_started_7d,11570,23242,17.51562963,-,-,-,2364.61,2025-11-23,174,118,1,2364.61,,,20.039068,135,17.51563,,,416
2025-09-01,2025-09-30,"BERMONTHS 2025 COMSHOP📈",not_delivering,"IMG BROCHURE PERSONAL, COMSHOP, AND LAPTOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",15,actions:onsite_conversion.messaging_conversation_started_7d,1567,3129,38.36133333,-,-,-,575.42,2025-11-23,37,10,2,287.71,,,57.542,15,38.361333,,,70
2025-09-01,2025-09-30,"BERMONTHS 2025 ALL PC SET📈",not_delivering,"IMG BROCHURE PERSONAL, COMSHOP, AND LAPTOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",428,actions:onsite_conversion.messaging_conversation_started_7d,24464,57371,15.96184579,-,-,-,6831.67,2025-11-23,540,360,9,759.074444,,,18.976861,428,15.961846,,,1505
2025-09-01,2025-09-30,"R5 5600G 8 MID PARANAQUE📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,"7-day click or 1-day view",1415,actions:onsite_conversion.messaging_conversation_started_7d,65955,127168,9.09909541,-,-,-,12875.22,2025-11-23,1580,1189,9,1430.58,,,10.828612,1415,9.099095,,,3564
2025-09-01,2025-09-30,"R5 5600G 4 MID HIGHLIGHTS📈📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,"7-day click or 1-day view",87,actions:onsite_conversion.messaging_conversation_started_7d,7326,13632,18.66609195,-,-,-,1623.95,2025-11-23,123,68,,,,,23.881618,87,18.666092,,,380
2025-09-01,2025-09-30,"STA MARIA JAMES📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,460,756,53.205,-,-,-,106.41,2025-11-23,8,,1,106.41,,,,2,53.205,,,12
2025-09-01,2025-09-30,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟖𝐏𝐂𝐒) north cal📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,"7-day click or 1-day view",160,actions:onsite_conversion.messaging_conversation_started_7d,11110,17298,11.703125,-,-,-,1872.5,2025-11-23,202,121,2,936.25,,,15.475207,160,11.703125,,,440
2025-09-01,2025-09-30,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟏𝟎+𝟏)tattoo📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2025-08-16T04:14:14+0800,"7-day click or 1-day view",127,actions:onsite_conversion.messaging_conversation_started_7d,8880,13524,11.19,-,-,-,1421.13,2025-11-23,148,98,1,1421.13,,,14.501327,127,11.19,,,390
