"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name","Bid","Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting","Results","Result indicator","Reach","Impressions","Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)","Ends","Total messaging contacts","New messaging contacts","Purchases","Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
"2025-06-01","2025-06-30","R5 5600G 8 MID PARANAQUE OK G","active","ALL REELS SHOP","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","655","actions:onsite_conversion.messaging_conversation_started_7d","18142","45823","6.52276336","Above average","Above average","Above average","4272.41","2026-12-31","655","519","","","","","8.232004","655","6.522763","","","1127"
"2025-06-01","2025-06-30","RYZEN 5 PINK OK G","active","ALL REELS PC SET","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","254","actions:onsite_conversion.messaging_conversation_started_7d","13604","24464","17.14110236","Above average","Above average","Average","4353.84","2026-12-31","254","142","5","870.768","","","30.660845","254","17.141102","","","604"
"2025-06-01","2025-06-30","6 trad san mateo (winning) OK G","active","ALL REELS SHOP","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","141","actions:onsite_conversion.messaging_conversation_started_7d","6987","15195","22.11680851","Average","Above average","Average","3118.47","2026-12-31","141","99","","","","","31.499697","141","22.116809","","","293"
"2025-06-01","2025-06-30","RYZEN 5 5600G 8PCS north cal OK G","active","ALL REELS SHOP","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","291","actions:onsite_conversion.messaging_conversation_started_7d","11344","28713","14.71948454","Above average","Above average","Average","4283.37","2026-12-31","291","183","16","267.710625","","","23.406393","291","14.719485","","","589"
"2025-06-01","2025-06-30","PC SET COMSHOP PACKAGE","active","PC SET AND COMSHOP 25 26","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","199","actions:onsite_conversion.messaging_conversation_started_7d","11585","23817","22.5321608","Average","Above average","Average","4483.9","2026-12-31","199","104","6","747.316667","","","43.114423","199","22.532161","","","561"
"2025-06-01","2025-06-30","r5 5600g 10+1+1 norzagaray OK G","active","ALL REELS SHOP","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","237","actions:onsite_conversion.messaging_conversation_started_7d","8638","19121","10.5314346","Above average","Above average","Above average","2495.95","2026-12-31","237","178","7","356.564286","","","14.022191","237","10.531435","","","461"
"2025-06-01","2025-06-30","r5 3400g 8+1 gaya gaya OK G","active","ALL REELS SHOP","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","55","actions:onsite_conversion.messaging_conversation_started_7d","3271","7487","46.078","Average","Average","Average","2534.29","2026-12-31","55","34","","","","","74.537941","55","46.078","","","154"
"2025-06-01","2025-06-30","THE RYZEN 9 3900X OK G","active","ALL REELS PC SET","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","135","actions:onsite_conversion.messaging_conversation_started_7d","4398","9493","12.84822222","Above average","Above average","Average","1734.51","2026-12-31","135","70","4","433.6275","","","24.778714","135","12.848222","","","261"
"2025-06-01","2025-06-30","COMSHOP PACKAGE OK G","active","PC SET AND COMSHOP 25 26","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","143","actions:onsite_conversion.messaging_conversation_started_7d","8308","17080","18.95804196","Above average","Above average","Average","2711.0","2026-12-31","143","94","","","","","28.840426","143","18.958042","","","412"
"2025-06-01","2025-06-30","r5 5700x rtx4060 y68 white OK","active","ALL REELS PC SET","0","ABSOLUTE_OCPM","Using campaign budget","0","0","7-day click or 1-day view","134","actions:onsite_conversion.messaging_conversation_started_7d","6588","13011","11.48597015","Above average","Above average","Above average","1539.12","2026-12-31","134","90","","","","","17.101333","134","11.48597","","","325"
