"Date","Followers","Difference in followers from previous day"
"August 18","22551","14"
"August 19","22565","23"
"August 20","22588","26"
"August 21","22614","105"
"August 22","22719","26"
"August 23","22745","47"
"August 24","22792","30"
"August 25","22822","28"
"August 26","22850","13"
"August 27","22863","-5"
"August 28","22858","-4"
"August 29","22854","1"
"August 30","22855","7"
"August 31","22862","-2"
"September 1","22860","0"
"September 2","22860","-1"
"September 3","22859","1"
"September 4","22860","-3"
"September 5","22857","-3"
"September 6","22854","-4"
"September 7","22850","1"
"September 8","22851","-2"
"September 9","22849","-5"
"September 10","22844","2"
"September 11","22846","-2"
"September 12","22844","-1"
"September 13","22843","-2"
"September 14","22841","-1"
"September 15","22840","-4"
"September 16","22836","-6"
"September 17","22830","-5"
"September 18","22825","-4"
"September 19","22821","-5"
"September 20","22816","0"
"September 21","22816","-5"
"September 22","22811","-3"
"September 23","22808","2"
"September 24","22810","-1"
"September 25","22809","-7"
"September 26","22802","-1"
"September 27","22801","-3"
"September 28","22798","-2"
"September 29","22796","-3"
"September 30","22793","-4"
"October 1","22789","-4"
"October 2","22785","-3"
"October 3","22782","0"
"October 4","22782","-2"
"October 5","22780","-6"
"October 6","22774","0"
"October 7","22774","-2"
"October 8","22772","7"
"October 9","22779","3"
"October 10","22782","5"
"October 11","22787","-1"
"October 12","22786","3"
"October 13","22789","-5"
"October 14","22784","2"
"October 15","22786","2"
"October 16","22788","0"
