"Date","Total Viewers","New Viewers","Returning Viewers"
"August 19","5780","5617","163"
"August 20","33187","29961","3226"
"August 21","58396","48196","10200"
"August 22","57505","50117","7388"
"August 23","63583","45049","18534"
"August 24","63583","45049","18534"
"August 25","115317","83483","31834"
"August 26","74308","50099","24209"
"August 27","54286","34182","20104"
"August 28","41681","20734","20947"
"August 29","7190","3878","3312"
"August 30","1771","1207","564"
"August 31","948","445","503"
"September 1","1199","419","780"
"September 2","970","380","590"
"September 3","1004","414","590"
"September 4","1012","427","585"
"September 5","932","354","578"
"September 6","744","334","410"
"September 7","885","341","544"
"September 8","844","312","532"
"September 9","435","217","218"
"September 10","888","315","573"
"September 11","714","298","416"
"September 12","696","300","396"
"September 13","626","279","347"
"September 14","642","255","387"
"September 15","583","230","353"
"September 16","449","212","237"
"September 17","246","146","100"
"September 18","247","149","98"
"September 19","254","156","98"
"September 20","220","134","86"
"September 21","227","148","79"
"September 22","195","137","58"
"September 23","242","169","73"
"September 24","240","165","75"
"September 25","776","348","428"
"September 26","542","239","303"
"September 27","441","211","230"
"September 28","441","211","230"
"September 29","440","211","229"
"September 30","251","175","76"
"October 1","221","154","67"
"October 2","217","150","67"
"October 3","286","200","86"
"October 4","302","216","86"
"October 5","262","192","70"
"October 6","312","232","80"
"October 7","279","201","78"
"October 8","248","183","65"
"October 9","811","334","477"
"October 10","1314","585","729"
"October 11","1195","498","697"
"October 12","1389","599","790"
"October 13","1095","476","619"
"October 14","878","461","417"
"October 15","798","424","374"
"October 16","649","331","318"
"October 17","undefined","0","0"
