"Date","Followers","Difference in followers from previous day"
"December 1","20506","3"
"December 2","20509","2"
"December 3","20511","3"
"December 4","20514","4"
"December 5","20518","2"
"December 6","20520","2"
"December 7","20522","2"
"December 8","20524","6"
"December 9","20530","4"
"December 10","20534","2"
"December 11","20536","-6"
"December 12","20530","5"
"December 13","20535","2"
"December 14","20537","2"
"December 15","20539","3"
"December 16","20542","3"
"December 17","20545","3"
"December 18","20548","1"
"December 19","20549","3"
"December 20","20552","3"
"December 21","20555","4"
"December 22","20559","4"
"December 23","20563","2"
"December 24","20565","3"
"December 25","20568","2"
"December 26","20570","3"
"December 27","20573","3"
"December 28","20576","1"
"December 29","20577","4"
"December 30","20581","3"
"December 31","20584","3"
