"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2022-12-01,2022-12-31,"NEW 4 MID MINUYAN📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2022-11-30T17:11:48+0800,"7-day click or 1-day view",14,actions:onsite_conversion.messaging_conversation_started_7d,991,1716,16.47785714,-,-,-,230.69,2023-01-31,17,11,,,,,20.971818,14,16.477857,,,39
2022-12-01,2022-12-31,"R3 3200G Y68",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2022-11-29T23:12:31+0800,"7-day click or 1-day view",54,actions:onsite_conversion.messaging_conversation_started_7d,4393,7835,17.69148148,-,-,-,955.34,2023-01-31,58,39,,,,,24.495897,54,17.691481,,,178
2022-12-01,2022-12-31,"R5 2600 1660S RESTOCK",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",38,actions:onsite_conversion.messaging_conversation_started_7d,1938,4151,15.15526316,-,-,-,575.90,2023-01-31,64,37,,,,,15.564865,38,15.155263,,,78
2022-12-01,2022-12-31,"R5 2600 1660S TRAD",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2022-11-13T18:22:08+0800,"7-day click or 1-day view",13,actions:onsite_conversion.messaging_conversation_started_7d,852,1746,17.25538462,-,-,-,224.32,2023-01-31,28,14,,,,,16.022857,13,17.255385,,,32
2022-12-01,2022-12-31,"R5 2600 1660S BLACK",archived,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-01-03T06:07:08+0800,"7-day click or 1-day view",63,actions:onsite_conversion.messaging_conversation_started_7d,5135,11063,16.62952381,-,-,-,1047.66,2023-01-31,84,54,,,,,19.401111,63,16.629524,,,261
2022-12-01,2022-12-31,"R3 3200G 10PCS CP 12/08 MIGZ",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-01-06T23:14:27+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,182,399,11.9425,-,-,-,47.77,2023-01-31,10,7,,,,,6.824286,4,11.9425,,,8
2022-12-01,2022-12-31,"R5 3400G WHITE BUILD",inactive,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2022-11-26T04:24:21+0800,"7-day click or 1-day view",76,actions:onsite_conversion.messaging_conversation_started_7d,10850,22691,42.87342105,-,-,-,3258.38,2023-01-31,107,70,1,3258.38,,,46.548286,76,42.873421,,,506
2022-12-01,2022-12-31,"R5 2600 1660S 2PCS CP 12/02 MIGZ",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2022-11-26T21:27:22+0800,"7-day click or 1-day view",114,actions:onsite_conversion.messaging_conversation_started_7d,5329,11000,13.94947368,-,-,-,1590.24,2023-01-31,128,78,1,1590.24,,,20.387692,114,13.949474,,,295
2022-12-01,2022-12-31,"BERMONTHS 2022 LAPTOP📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2022-11-15T15:35:26+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,595,773,34.5575,-,-,-,138.23,2023-01-31,6,3,,,,,46.076667,4,34.5575,,,18
2022-12-01,2022-12-31,"BERMONTHS 2022 LAPTOP📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2022-11-27T16:07:44+0800,"7-day click or 1-day view",27,actions:onsite_conversion.messaging_conversation_started_7d,2963,4365,23.85074074,-,-,-,643.97,2023-01-31,57,32,2,321.985,,,20.124063,27,23.850741,,,133
