"Date","Total Viewers","New Viewers","Returning Viewers"
"December 1","576","303","273"
"December 2","776","444","332"
"December 3","552","261","291"
"December 4","504","282","222"
"December 5","520","238","282"
"December 6","467","252","215"
"December 7","564","274","290"
"December 8","532","270","262"
"December 9","606","320","286"
"December 10","948","429","519"
"December 11","795","395","400"
"December 12","864","460","404"
"December 13","638","347","291"
"December 14","375","207","168"
"December 15","628","344","284"
"December 16","554","245","309"
"December 17","577","292","285"
"December 18","546","278","268"
"December 19","489","259","230"
"December 20","549","295","254"
"December 21","450","218","232"
"December 22","476","247","229"
"December 23","658","398","260"
"December 24","504","254","250"
"December 25","565","284","281"
"December 26","575","326","249"
"December 27","524","289","235"
"December 28","419","217","202"
"December 29","676","363","313"
"December 30","668","354","314"
"December 31","530","300","230"
