"Date","Followers","Difference in followers from previous day"
"November 1","20424","3"
"November 2","20427","3"
"November 3","20430","2"
"November 4","20432","4"
"November 5","20436","2"
"November 6","20438","3"
"November 7","20441","1"
"November 8","20442","3"
"November 9","20445","4"
"November 10","20449","3"
"November 11","20452","3"
"November 12","20455","3"
"November 13","20458","2"
"November 14","20460","2"
"November 15","20462","3"
"November 16","20465","3"
"November 17","20468","3"
"November 18","20471","1"
"November 19","20472","2"
"November 20","20474","2"
"November 21","20476","2"
"November 22","20478","3"
"November 23","20481","3"
"November 24","20484","4"
"November 25","20488","3"
"November 26","20491","5"
"November 27","20496","2"
"November 28","20498","2"
"November 29","20500","5"
"November 30","20505","1"
