"Date","Followers","Difference in followers from previous day"
"October 1","20400","4"
"October 2","20404","3"
"October 3","20407","3"
"October 4","20410","2"
"October 5","20412","2"
"October 6","20414","2"
"October 7","20416","1"
"October 8","20417","4"
"October 9","20421","-10"
"October 10","20411","1"
"October 11","20412","2"
"October 12","20414","2"
"October 13","20416","-10"
"October 14","20406","-4"
"October 15","20402","2"
"October 16","20404","3"
"October 17","20407","1"
"October 18","20408","4"
"October 19","20412","2"
"October 20","20414","2"
"October 21","20416","2"
"October 22","20418","2"
"October 23","20420","2"
"October 24","20422","2"
"October 25","20424","1"
"October 26","20425","1"
"October 27","20426","2"
"October 28","20428","2"
"October 29","20430","2"
"October 30","20432","-10"
"October 31","20422","2"
