"Date","Followers","Difference in followers from previous day"
"April 1","20789","2"
"April 2","20791","3"
"April 3","20794","1"
"April 4","20795","4"
"April 5","20799","1"
"April 6","20800","3"
"April 7","20803","3"
"April 8","20806","2"
"April 9","20808","1"
"April 10","20809","2"
"April 11","20811","2"
"April 12","20813","1"
"April 13","20814","1"
"April 14","20815","3"
"April 15","20818","3"
"April 16","20821","2"
"April 17","20823","1"
"April 18","20824","1"
"April 19","20825","3"
"April 20","20828","2"
"April 21","20830","2"
"April 22","20832","4"
"April 23","20836","2"
"April 24","20838","2"
"April 25","20840","2"
"April 26","20842","1"
"April 27","20843","1"
"April 28","20844","1"
"April 29","20845","3"
"April 30","20848","3"
