"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-04-01,2023-04-30,"i5 10400F 1650 PINK VIRAL",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-18T00:49:01+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,81,149,21.19,-,-,-,21.19,2023-07-06,2,1,,,,,21.19,1,21.19,,,2
2023-04-01,2023-04-30,"NEW 8 HIGH NASUGBU📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-09T19:07:16+0800,"7-day click or 1-day view",30,actions:onsite_conversion.messaging_conversation_started_7d,1271,2019,14.36133333,-,-,-,430.84,2023-07-06,50,31,,,,,13.898065,30,14.361333,,,40
2023-04-01,2023-04-30,"R3 3200G PINK VIRAL",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-27T10:29:02+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,106,193,30.04,-,-,-,30.04,2023-07-06,2,2,,,,,15.02,1,30.04,,,5
2023-04-01,2023-04-30,"𝐑𝐘𝐙𝐄𝐍 𝟑 𝟑𝟐𝟎𝟎𝐆 (𝟖𝐏𝐂𝐒) north cal📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-20T20:53:24+0800,"7-day click or 1-day view",17,actions:onsite_conversion.messaging_conversation_started_7d,1380,2637,19.16823529,-,-,-,325.86,2023-07-06,19,9,,,,,36.206667,17,19.168235,,,75
2023-04-01,2023-04-30,"R5 2600 1660S VIRAL",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-03-29T06:01:26+0800,-,,,0,0,,-,-,-,0,2023-03-10,,,,,,,,,,,,
2023-04-01,2023-04-30,"NEW YEAR SALE 2023",archived,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",207,actions:onsite_conversion.messaging_conversation_started_7d,30435,52999,23.49478261,-,-,-,4863.42,2023-07-06,251,147,1,4863.42,,,33.08449,207,23.494783,,,998
2023-04-01,2023-04-30,"NEW 10+1 ANTIPOLO",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-02T09:24:35+0800,-,,,0,0,,-,-,-,0,2023-03-10,,,,,,,,,,,,
2023-04-01,2023-04-30,"NEW 8 MID STA MARIA",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-03-17T12:56:26+0800,"7-day click or 1-day view",126,actions:onsite_conversion.messaging_conversation_started_7d,7576,16183,17.68992063,-,-,-,2228.93,2023-07-06,157,95,,,,,23.462421,126,17.689921,,,444
2023-04-01,2023-04-30,"R5 3400G HIGHLIGHTS📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",11,actions:onsite_conversion.messaging_conversation_started_7d,485,807,12.92818182,-,-,-,142.21,2023-07-06,12,6,1,142.21,,,23.701667,11,12.928182,,,22
2023-04-01,2023-04-30,"NEW 8 MID MEYCAUAYAN📈",inactive,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-14T23:28:05+0800,"7-day click or 1-day view",169,actions:onsite_conversion.messaging_conversation_started_7d,7042,13941,10.77846154,-,-,-,1821.56,2023-07-06,200,132,1,1821.56,,,13.799697,169,10.778462,,,471
2023-04-01,2023-04-30,"𝐢𝟓 𝟏𝟎𝟒𝟎𝟎𝐅 (𝟖𝐏𝐂𝐒) north cal📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-09T14:39:44+0800,-,,,0,0,,-,-,-,0,2023-03-10,,,,,,,,,,,,
2023-04-01,2023-04-30,"R5 3400G HIGHLIGHTS📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",18,actions:onsite_conversion.messaging_conversation_started_7d,1848,3075,32.69055556,-,-,-,588.43,2023-07-06,21,11,,,,,53.493636,18,32.690556,,,84
2023-04-01,2023-04-30,"i5 10400F 1650 TRAD",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-11T10:08:08+0800,"7-day click or 1-day view",83,actions:onsite_conversion.messaging_conversation_started_7d,5082,9229,15.74891566,-,-,-,1307.16,2023-07-06,93,73,,,,,17.906301,83,15.748916,,,225
