"Date","Total Viewers","New Viewers","Returning Viewers"
"April 1","483","257","226"
"April 2","349","181","168"
"April 3","288","139","149"
"April 4","317","154","163"
"April 5","342","165","177"
"April 6","456","204","252"
"April 7","478","246","232"
"April 8","348","212","136"
"April 9","313","155","158"
"April 10","335","188","147"
"April 11","353","156","197"
"April 12","359","172","187"
"April 13","309","196","113"
"April 14","461","254","207"
"April 15","431","241","190"
"April 16","368","179","189"
"April 17","317","159","158"
"April 18","496","211","285"
"April 19","356","151","205"
"April 20","415","233","182"
"April 21","346","168","178"
"April 22","425","259","166"
"April 23","348","162","186"
"April 24","289","155","134"
"April 25","412","224","188"
"April 26","312","151","161"
"April 27","365","178","187"
"April 28","495","291","204"
"April 29","420","208","212"
"April 30","349","179","170"
