"Date","Followers","Difference in followers from previous day"
"August 1","20970","3"
"August 2","20973","3"
"August 3","20976","3"
"August 4","20979","3"
"August 5","20982","3"
"August 6","20985","1"
"August 7","20986","2"
"August 8","20988","7"
"August 9","20995","14"
"August 10","21009","14"
"August 11","21023","11"
"August 12","21034","10"
"August 13","21044","8"
"August 14","21052","9"
"August 15","21061","14"
"August 16","21075","14"
"August 17","21089","-14"
"August 18","21075","8"
"August 19","21083","5"
"August 20","21088","5"
"August 21","21093","7"
"August 22","21100","6"
"August 23","21106","4"
"August 24","21110","4"
"August 25","21114","-8"
"August 26","21106","4"
"August 27","21110","4"
"August 28","21114","4"
"August 29","21118","4"
"August 30","21122","9"
"August 31","21131","4"
