"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-08-01,2023-08-31,"R5 5600G 1660S Y68",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-03T21:00:43+0800,"7-day click or 1-day view",34,actions:onsite_conversion.messaging_conversation_started_7d,2091,3411,17.26352941,-,-,-,586.96,2023-09-28,53,39,,,,,15.050256,34,17.263529,,,115
2023-08-01,2023-08-31,"MIGZ BUILD",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-25T19:43:01+0800,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,212,465,8.23142857,-,-,-,57.62,2023-09-28,12,5,,,,,11.524,7,8.231429,,,8
2023-08-01,2023-08-31,"R5 5600G RESTOCK",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",15,actions:onsite_conversion.messaging_conversation_started_7d,1204,2397,15.66933333,-,-,-,235.04,2023-09-28,25,19,1,235.04,,,12.370526,15,15.669333,,,70
2023-08-01,2023-08-31,"MIGZ BUILD",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-19T12:39:32+0800,"7-day click or 1-day view",19,actions:onsite_conversion.messaging_conversation_started_7d,1332,2356,17.74578947,-,-,-,337.17,2023-09-28,31,14,1,337.17,,,24.083571,19,17.745789,,,44
2023-08-01,2023-08-31,"R5 4600G BUDGET KING",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-13T06:59:35+0800,-,,,0,0,,-,-,-,0,2023-07-27,,,,,,,,,,,,
2023-08-01,2023-08-31,"R5 5600G RESTOCK",inactive,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-08-30T03:26:32+0800,"7-day click or 1-day view",378,actions:onsite_conversion.messaging_conversation_started_7d,27344,59697,16.70880952,-,-,-,6315.93,2023-09-28,428,214,1,6315.93,,,29.513692,378,16.70881,,,1733
2023-08-01,2023-08-31,"R5 4600G WHITE BUILD",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-08-25T03:51:53+0800,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,369,561,13.50285714,-,-,-,94.52,2023-09-28,13,6,,,,,15.753333,7,13.502857,,,18
2023-08-01,2023-08-31,"BACK TO SCHOOL",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-03T08:00:47+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,384,499,39.585,-,-,-,79.17,2023-09-28,3,1,,,,,79.17,2,39.585,,,11
2023-08-01,2023-08-31,"NEW 8 TRAD STA MARIA📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-05T13:29:30+0800,"7-day click or 1-day view",28,actions:onsite_conversion.messaging_conversation_started_7d,2700,5912,22.42357143,-,-,-,627.86,2023-09-28,39,25,,,,,25.1144,28,22.423571,,,179
2023-08-01,2023-08-31,"BERT 20K SALE",inactive,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-23T23:38:37+0800,"7-day click or 1-day view",113,actions:onsite_conversion.messaging_conversation_started_7d,15749,25390,28.00141593,-,-,-,3164.16,2023-09-28,156,88,1,3164.16,,,35.956364,113,28.001416,,,557
