"Date","Total Viewers","New Viewers","Returning Viewers"
"August 1","613","328","285"
"August 2","442","209","233"
"August 3","472","257","215"
"August 4","480","263","217"
"August 5","410","205","205"
"August 6","459","215","244"
"August 7","573","264","309"
"August 8","1721","825","896"
"August 9","3271","2121","1150"
"August 10","4175","2670","1505"
"August 11","2678","1620","1058"
"August 12","2509","1518","991"
"August 13","2887","1692","1195"
"August 14","2655","1390","1265"
"August 15","2205","1158","1047"
"August 16","2305","1431","874"
"August 17","1830","1108","722"
"August 18","1878","1018","860"
"August 19","1840","976","864"
"August 20","1745","899","846"
"August 21","1256","735","521"
"August 22","1025","581","444"
"August 23","1097","579","518"
"August 24","1265","682","583"
"August 25","1046","619","427"
"August 26","1025","592","433"
"August 27","851","504","347"
"August 28","865","455","410"
"August 29","1205","664","541"
"August 30","1126","542","584"
"August 31","955","447","508"
