"Date","Followers","Difference in followers from previous day"
"February 1","20668","3"
"February 2","20671","3"
"February 3","20674","3"
"February 4","20677","4"
"February 5","20681","1"
"February 6","20682","2"
"February 7","20684","3"
"February 8","20687","4"
"February 9","20691","3"
"February 10","20694","2"
"February 11","20696","3"
"February 12","20699","1"
"February 13","20700","3"
"February 14","20703","3"
"February 15","20706","3"
"February 16","20709","3"
"February 17","20712","3"
"February 18","20715","1"
"February 19","20716","2"
"February 20","20718","2"
"February 21","20720","4"
"February 22","20724","1"
"February 23","20725","2"
"February 24","20727","1"
"February 25","20728","3"
"February 26","20731","-12"
"February 27","20719","3"
"February 28","20722","1"
