"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-02-01,2023-02-28,"R3 3200G PINK VIRAL",archived,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-21T08:21:51+0800,"7-day click or 1-day view",41,actions:onsite_conversion.messaging_conversation_started_7d,3394,6667,19.52170732,-,-,-,800.39,2023-05-03,58,42,1,800.39,,,19.056905,41,19.521707,,,174
2023-02-01,2023-02-28,"JM COMSHOP",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-03-09T18:34:16+0800,-,,,0,0,,-,-,-,0,2022-12-29,,,,,,,,,,,,
2023-02-01,2023-02-28,"MIGZ PACKAGE📈",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-19T17:45:00+0800,"7-day click or 1-day view",43,actions:onsite_conversion.messaging_conversation_started_7d,5922,10832,29.71651163,-,-,-,1277.81,2023-05-03,51,24,,,,,53.242083,43,29.716512,,,332
2023-02-01,2023-02-28,"R5 2600 1660S BUDGET KING",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-05T06:09:56+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,121,157,25.53,-,-,-,25.53,2023-05-03,1,0,,,,,25.53,1,25.53,,,3
2023-02-01,2023-02-28,"R5 3400G TRAD",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-24T23:35:31+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,486,631,51.005,-,-,-,102.01,2023-05-03,3,1,,,,,102.01,2,51.005,,,15
2023-02-01,2023-02-28,"R3 3200G Y68",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-03-01T05:39:33+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,171,222,40.64,-,-,-,40.64,2023-05-03,1,0,,,,,40.64,1,40.64,,,5
2023-02-01,2023-02-28,"NEW 6 MID NASUGBU📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-01-30T02:21:57+0800,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,274,501,11.52833333,-,-,-,69.17,2023-05-03,11,6,,,,,11.528333,6,11.528333,,,10
2023-02-01,2023-02-28,"R5 3400G RGB",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-04T03:16:30+0800,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,562,730,43.01,-,-,-,129.03,2023-05-03,4,2,,,,,64.515,3,43.01,,,17
2023-02-01,2023-02-28,"𝐢𝟑 𝟏𝟎𝟏𝟎𝟎𝐅 (𝟏𝟎𝐏𝐂𝐒) mabalacat📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-01-21T09:20:14+0800,"7-day click or 1-day view",9,actions:onsite_conversion.messaging_conversation_started_7d,554,1118,18.22444444,-,-,-,164.02,2023-05-03,16,12,,,,,13.668333,9,18.224444,,,25
2023-02-01,2023-02-28,"R3 3200G BUDGET KING",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-14T17:41:24+0800,-,,,0,0,,-,-,-,0,2022-12-29,,,,,,,,,,,,
