"Date","Total Viewers","New Viewers","Returning Viewers"
"February 1","1063","615","448"
"February 2","1052","593","459"
"February 3","1090","588","502"
"February 4","643","288","355"
"February 5","818","400","418"
"February 6","711","435","276"
"February 7","642","341","301"
"February 8","540","293","247"
"February 9","956","510","446"
"February 10","679","339","340"
"February 11","671","356","315"
"February 12","586","260","326"
"February 13","581","308","273"
"February 14","546","239","307"
"February 15","808","445","363"
"February 16","845","410","435"
"February 17","585","304","281"
"February 18","841","390","451"
"February 19","672","388","284"
"February 20","525","252","273"
"February 21","491","218","273"
"February 22","453","193","260"
"February 23","348","171","177"
"February 24","421","251","170"
"February 25","516","271","245"
"February 26","552","284","268"
"February 27","361","196","165"
"February 28","679","375","304"
