"Date","Followers","Difference in followers from previous day"
"January 1","20587","1"
"January 2","20588","2"
"January 3","20590","2"
"January 4","20592","1"
"January 5","20593","2"
"January 6","20595","2"
"January 7","20597","1"
"January 8","20598","2"
"January 9","20600","3"
"January 10","20603","1"
"January 11","20604","2"
"January 12","20606","2"
"January 13","20608","1"
"January 14","20609","3"
"January 15","20612","1"
"January 16","20613","3"
"January 17","20616","2"
"January 18","20618","1"
"January 19","20619","1"
"January 20","20620","4"
"January 21","20624","5"
"January 22","20629","8"
"January 23","20637","-10"
"January 24","20627","6"
"January 25","20633","5"
"January 26","20638","5"
"January 27","20643","4"
"January 28","20647","7"
"January 29","20654","5"
"January 30","20659","4"
"January 31","20663","5"
