"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-01-01,2023-01-31,"i5 10400F 1650 4PCS CP 01/24 MARK",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2022-12-14T08:43:12+0800,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,229,297,20.00666667,-,-,-,60.02,2023-02-27,4,2,,,,,30.01,3,20.006667,,,7
2023-01-01,2023-01-31,"NEW 8 TRAD NASUGBU",inactive,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-01-05T09:35:43+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,298,561,27.225,-,-,-,54.45,2023-02-27,3,2,,,,,27.225,2,27.225,,,16
2023-01-01,2023-01-31,"NEW 8 MID DASMA📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-01-12T03:07:43+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,123,238,18.665,-,-,-,37.33,2023-02-27,4,2,,,,,18.665,2,18.665,,,4
2023-01-01,2023-01-31,"i5 10400F 1650 8PCS CP 01/02 CARLO",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",5,actions:onsite_conversion.messaging_conversation_started_7d,826,1672,39.062,-,-,-,195.31,2023-02-27,6,3,,,,,65.103333,5,39.062,,,34
2023-01-01,2023-01-31,"R5 2600 1660S PINK VIRAL",inactive,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-01-26T11:02:16+0800,"7-day click or 1-day view",9,actions:onsite_conversion.messaging_conversation_started_7d,731,1549,22.21222222,-,-,-,199.91,2023-02-27,18,9,,,,,22.212222,9,22.212222,,,36
2023-01-01,2023-01-31,"R5 3400G 10PCS CP 01/13 ALDRIN",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-01-26T21:26:40+0800,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,557,724,16.31142857,-,-,-,114.18,2023-02-27,11,6,,,,,19.03,7,16.311429,,,17
2023-01-01,2023-01-31,"NEW 6 TRAD MARILAO📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2022-12-14T02:16:47+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,92,130,28.17,-,-,-,28.17,2023-02-27,1,1,,,,,28.17,1,28.17,,,4
2023-01-01,2023-01-31,"NEW 10+1 MINUYAN📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,662,1168,24.29571429,-,-,-,170.07,2023-02-27,15,8,,,,,21.25875,7,24.295714,,,39
2023-01-01,2023-01-31,"R3 3200G MID📈",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-01-15T07:10:06+0800,"7-day click or 1-day view",197,actions:onsite_conversion.messaging_conversation_started_7d,15843,31120,22.22649746,-,-,-,4378.62,2023-02-27,216,169,4,1094.655,,,25.908994,197,22.226497,,,689
2023-01-01,2023-01-31,"2023 OPENING PROMO📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-01T20:51:05+0800,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,511,664,48.04,-,-,-,144.12,2023-02-27,4,2,,,,,72.06,3,48.04,,,15
