"Date","Total Viewers","New Viewers","Returning Viewers"
"January 1","518","273","245"
"January 2","424","198","226"
"January 3","424","235","189"
"January 4","408","203","205"
"January 5","657","344","313"
"January 6","423","221","202"
"January 7","555","299","256"
"January 8","444","245","199"
"January 9","505","289","216"
"January 10","464","247","217"
"January 11","459","256","203"
"January 12","460","224","236"
"January 13","581","241","340"
"January 14","695","395","300"
"January 15","585","284","301"
"January 16","513","260","253"
"January 17","393","214","179"
"January 18","512","266","246"
"January 19","474","252","222"
"January 20","1053","557","496"
"January 21","1884","1066","818"
"January 22","2308","1307","1001"
"January 23","1963","1072","891"
"January 24","1732","1050","682"
"January 25","1712","936","776"
"January 26","1632","954","678"
"January 27","1372","830","542"
"January 28","1940","1167","773"
"January 29","1739","1070","669"
"January 30","989","457","532"
"January 31","1150","833","317"
