"Date","Followers","Difference in followers from previous day"
"July 1","20939","1"
"July 2","20940","1"
"July 3","20941","3"
"July 4","20944","1"
"July 5","20945","1"
"July 6","20946","3"
"July 7","20949","2"
"July 8","20951","1"
"July 9","20952","1"
"July 10","20953","2"
"July 11","20955","2"
"July 12","20957","2"
"July 13","20959","2"
"July 14","20961","1"
"July 15","20962","3"
"July 16","20965","2"
"July 17","20967","1"
"July 18","20968","1"
"July 19","20969","2"
"July 20","20971","1"
"July 21","20972","1"
"July 22","20973","-14"
"July 23","20959","3"
"July 24","20962","1"
"July 25","20963","2"
"July 26","20965","1"
"July 27","20966","1"
"July 28","20967","3"
"July 29","20970","-4"
"July 30","20966","2"
"July 31","20968","2"
