"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-07-01,2023-07-31,"i3 12100F RX6600 BLACK",inactive,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-14T11:36:12+0800,"7-day click or 1-day view",12,actions:onsite_conversion.messaging_conversation_started_7d,729,1227,16.55583333,-,-,-,198.67,2023-09-26,18,11,,,,,18.060909,12,16.555833,,,26
2023-07-01,2023-07-31,"R5 4600G TRAD",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-24T13:40:19+0800,"7-day click or 1-day view",35,actions:onsite_conversion.messaging_conversation_started_7d,2511,4669,17.24485714,-,-,-,603.57,2023-09-26,43,19,,,,,31.766842,35,17.244857,,,81
2023-07-01,2023-07-31,"NEW 10+1 BINAN",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-19T12:33:55+0800,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,537,762,18.29285714,-,-,-,128.05,2023-09-26,16,12,,,,,10.670833,7,18.292857,,,24
2023-07-01,2023-07-31,"JOSH COMSHOP",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-31T03:00:09+0800,"7-day click or 1-day view",74,actions:onsite_conversion.messaging_conversation_started_7d,4899,6959,16.87932432,-,-,-,1249.07,2023-09-26,92,47,1,1249.07,,,26.575957,74,16.879324,,,230
2023-07-01,2023-07-31,"BACK TO SCHOOL 2023📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",14,actions:onsite_conversion.messaging_conversation_started_7d,1459,2442,23.17785714,-,-,-,324.49,2023-09-26,19,12,,,,,27.040833,14,23.177857,,,62
2023-07-01,2023-07-31,"SUMMER SALE PC SET",inactive,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-18T19:10:40+0800,"7-day click or 1-day view",15,actions:onsite_conversion.messaging_conversation_started_7d,1543,2740,20.24266667,-,-,-,303.64,2023-09-26,32,25,,,,,12.1456,15,20.242667,,,57
2023-07-01,2023-07-31,"NEW 4 TRAD BACOOR📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",8,actions:onsite_conversion.messaging_conversation_started_7d,592,1293,17.31625,-,-,-,138.53,2023-09-26,17,13,,,,,10.656154,8,17.31625,,,40
2023-07-01,2023-07-31,"i3 12100F RX6600 8PCS CP 07/25 JAMES",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",14,actions:onsite_conversion.messaging_conversation_started_7d,939,1960,14.675,-,-,-,205.45,2023-09-26,33,16,1,205.45,,,12.840625,14,14.675,,,57
2023-07-01,2023-07-31,"BACK TO SCHOOL",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-03T14:40:23+0800,-,,,0,0,,-,-,-,0,2023-06-02,,,,,,,,,,,,
2023-07-01,2023-07-31,"R5 5600G HIGHLIGHTS📈",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-29T06:04:44+0800,"7-day click or 1-day view",60,actions:onsite_conversion.messaging_conversation_started_7d,4943,9405,24.55966667,-,-,-,1473.58,2023-09-26,84,64,2,736.79,,,23.024687,60,24.559667,,,293
2023-07-01,2023-07-31,"i3 12100F RX6600 DIGITAL✅",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-21T16:49:48+0800,"7-day click or 1-day view",5,actions:onsite_conversion.messaging_conversation_started_7d,587,763,30.6,-,-,-,153.00,2023-09-26,8,4,,,,,38.25,5,30.6,,,18
2023-07-01,2023-07-31,"NEW 8 TRAD MONTALBON📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-28T16:00:29+0800,"7-day click or 1-day view",12,actions:onsite_conversion.messaging_conversation_started_7d,1477,3077,23.695,-,-,-,284.34,2023-09-26,21,17,,,,,16.725882,12,23.695,,,64
2023-07-01,2023-07-31,"NEW 6 TRAD CALOOCAN📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-15T19:28:10+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,207,452,21.05,-,-,-,42.10,2023-09-26,4,3,,,,,14.033333,2,21.05,,,12
2023-07-01,2023-07-31,"JM PACKAGE📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-15T07:48:45+0800,-,,,0,0,,-,-,-,0,2023-06-02,,,,,,,,,,,,
2023-07-01,2023-07-31,"R5 4600G VIRAL",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-26T04:39:37+0800,-,,,0,0,,-,-,-,0,2023-06-02,,,,,,,,,,,,
2023-07-01,2023-07-31,"BACK TO SCHOOL 2023📈",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-08-02T11:01:46+0800,-,,,0,0,,-,-,-,0,2023-06-02,,,,,,,,,,,,
2023-07-01,2023-07-31,"NEW 4 MID MABALACAT📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-20T04:16:22+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,436,774,29.515,-,-,-,118.06,2023-09-26,9,4,,,,,29.515,4,29.515,,,17
