"Date","Total Viewers","New Viewers","Returning Viewers"
"July 1","517","245","272"
"July 2","534","271","263"
"July 3","465","215","250"
"July 4","620","305","315"
"July 5","557","308","249"
"July 6","636","316","320"
"July 7","474","242","232"
"July 8","484","220","264"
"July 9","432","247","185"
"July 10","423","208","215"
"July 11","540","265","275"
"July 12","574","295","279"
"July 13","400","214","186"
"July 14","682","345","337"
"July 15","571","294","277"
"July 16","685","381","304"
"July 17","477","234","243"
"July 18","513","254","259"
"July 19","432","209","223"
"July 20","486","254","232"
"July 21","482","218","264"
"July 22","585","329","256"
"July 23","508","235","273"
"July 24","457","211","246"
"July 25","540","287","253"
"July 26","593","321","272"
"July 27","501","234","267"
"July 28","563","329","234"
"July 29","549","286","263"
"July 30","578","294","284"
"July 31","509","299","210"
