"Date","Followers","Difference in followers from previous day"
"June 1","20905","1"
"June 2","20906","2"
"June 3","20908","3"
"June 4","20911","1"
"June 5","20912","1"
"June 6","20913","1"
"June 7","20914","1"
"June 8","20915","3"
"June 9","20918","1"
"June 10","20919","3"
"June 11","20922","2"
"June 12","20924","3"
"June 13","20927","2"
"June 14","20929","2"
"June 15","20931","1"
"June 16","20932","3"
"June 17","20935","3"
"June 18","20938","-14"
"June 19","20924","2"
"June 20","20926","1"
"June 21","20927","2"
"June 22","20929","3"
"June 23","20932","1"
"June 24","20933","2"
"June 25","20935","3"
"June 26","20938","3"
"June 27","20941","-2"
"June 28","20939","-4"
"June 29","20935","3"
"June 30","20938","1"
