"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-06-01,2023-06-30,"𝐢𝟓 𝟏𝟐𝟒𝟎𝟎𝐅 (𝟏𝟎𝐏𝐂𝐒) tattoo📈",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-20T03:21:48+0800,"7-day click or 1-day view",88,actions:onsite_conversion.messaging_conversation_started_7d,4936,6984,15.84397727,-,-,-,1394.27,2023-08-14,112,74,,,,,18.841486,88,15.843977,,,180
2023-06-01,2023-06-30,"R5 4600G 8PCS CP 06/03 JOSH",archived,"BACK TO SCHOOL REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-01T14:36:34+0800,"7-day click or 1-day view",178,actions:onsite_conversion.messaging_conversation_started_7d,17208,25929,16.52213483,-,-,-,2940.94,2023-08-14,192,135,5,588.188,,,21.784741,178,16.522135,,,844
2023-06-01,2023-06-30,"NEW 8 TRAD LIPA",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-07T13:19:18+0800,-,,,0,0,,-,-,-,0,2023-05-17,,,,,,,,,,,,
2023-06-01,2023-06-30,"R5 4600G POSEIDON",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-14T10:51:23+0800,-,,,0,0,,-,-,-,0,2023-05-17,,,,,,,,,,,,
2023-06-01,2023-06-30,"i3 12100F RX6600 RGB",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-06T14:26:36+0800,"7-day click or 1-day view",56,actions:onsite_conversion.messaging_conversation_started_7d,4606,9039,17.44285714,-,-,-,976.80,2023-08-14,72,53,,,,,18.430189,56,17.442857,,,145
2023-06-01,2023-06-30,"R5 5600G 1660S DIGITAL✅",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,582,928,12.773,-,-,-,127.73,2023-08-14,14,9,,,,,14.192222,10,12.773,,,27
2023-06-01,2023-06-30,"i3 12100F RX6600 PINK VIRAL",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-24T02:19:43+0800,-,,,0,0,,-,-,-,0,2023-05-17,,,,,,,,,,,,
2023-06-01,2023-06-30,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟑𝟒𝟎𝟎𝐆 (𝟖𝐏𝐂𝐒) nova📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-07-05T01:41:24+0800,"7-day click or 1-day view",82,actions:onsite_conversion.messaging_conversation_started_7d,2694,5062,8.51670732,-,-,-,698.37,2023-08-14,124,83,1,698.37,,,8.414096,82,8.516707,,,143
2023-06-01,2023-06-30,"R5 5600G 1660S PINK VIRAL",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-21T09:01:49+0800,"7-day click or 1-day view",23,actions:onsite_conversion.messaging_conversation_started_7d,2231,4744,25.54826087,-,-,-,587.61,2023-08-14,37,24,,,,,24.48375,23,25.548261,,,101
2023-06-01,2023-06-30,"NEW 6 TRAD CALOOCAN📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-12T21:00:33+0800,"7-day click or 1-day view",29,actions:onsite_conversion.messaging_conversation_started_7d,2988,6247,18.28551724,-,-,-,530.28,2023-08-14,35,15,,,,,35.352,29,18.285517,,,142
