"Date","Total Viewers","New Viewers","Returning Viewers"
"June 1","485","261","224"
"June 2","460","212","248"
"June 3","489","255","234"
"June 4","476","248","228"
"June 5","573","338","235"
"June 6","465","249","216"
"June 7","496","264","232"
"June 8","420","236","184"
"June 9","536","262","274"
"June 10","508","240","268"
"June 11","544","311","233"
"June 12","512","288","224"
"June 13","600","317","283"
"June 14","500","278","222"
"June 15","448","258","190"
"June 16","598","360","238"
"June 17","585","294","291"
"June 18","576","344","232"
"June 19","581","308","273"
"June 20","589","262","327"
"June 21","514","230","284"
"June 22","612","303","309"
"June 23","573","283","290"
"June 24","526","264","262"
"June 25","536","292","244"
"June 26","485","291","194"
"June 27","418","200","218"
"June 28","568","310","258"
"June 29","445","196","249"
"June 30","632","287","345"
