"Date","Followers","Difference in followers from previous day"
"March 1","20723","3"
"March 2","20726","1"
"March 3","20727","1"
"March 4","20728","3"
"March 5","20731","2"
"March 6","20733","2"
"March 7","20735","2"
"March 8","20737","3"
"March 9","20740","2"
"March 10","20742","1"
"March 11","20743","2"
"March 12","20745","1"
"March 13","20746","1"
"March 14","20747","1"
"March 15","20748","2"
"March 16","20750","2"
"March 17","20752","2"
"March 18","20754","3"
"March 19","20757","4"
"March 20","20761","3"
"March 21","20764","2"
"March 22","20766","1"
"March 23","20767","2"
"March 24","20769","2"
"March 25","20771","2"
"March 26","20773","4"
"March 27","20777","3"
"March 28","20780","2"
"March 29","20782","1"
"March 30","20783","3"
"March 31","20786","3"
