"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-03-01,2023-03-31,"ALDRIN PACKAGE📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-23T10:21:55+0800,"7-day click or 1-day view",21,actions:onsite_conversion.messaging_conversation_started_7d,1664,3130,19.62904762,-,-,-,412.21,2023-05-11,35,25,,,,,16.4884,21,19.629048,,,88
2023-03-01,2023-03-31,"DARVS COMSHOP",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",8,actions:onsite_conversion.messaging_conversation_started_7d,616,867,19.14625,-,-,-,153.17,2023-05-11,18,9,,,,,17.018889,8,19.14625,,,14
2023-03-01,2023-03-31,"LEO COMSHOP",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-18T15:05:06+0800,"7-day click or 1-day view",24,actions:onsite_conversion.messaging_conversation_started_7d,1651,3004,20.05458333,-,-,-,481.31,2023-05-11,57,25,,,,,19.2524,24,20.054583,,,82
2023-03-01,2023-03-31,"NEW YEAR SALE 2023",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",19,actions:onsite_conversion.messaging_conversation_started_7d,968,1661,10.62526316,-,-,-,201.88,2023-05-11,40,27,1,201.88,,,7.477037,19,10.625263,,,34
2023-03-01,2023-03-31,"𝐑𝐘𝐙𝐄𝐍 𝟑 𝟑𝟐𝟎𝟎𝐆 (𝟏𝟎𝐏𝐂𝐒) dasma📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-03-11T05:01:59+0800,"7-day click or 1-day view",35,actions:onsite_conversion.messaging_conversation_started_7d,1125,1771,9.02485714,-,-,-,315.87,2023-05-11,56,36,1,315.87,,,8.774167,35,9.024857,,,52
2023-03-01,2023-03-31,"DARVS BUILD",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-05T13:16:15+0800,"7-day click or 1-day view",5,actions:onsite_conversion.messaging_conversation_started_7d,480,926,17.95,-,-,-,89.75,2023-05-11,9,4,1,89.75,,,22.4375,5,17.95,,,31
2023-03-01,2023-03-31,"NEW 8 TRAD NASUGBU",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,445,641,8.227,-,-,-,82.27,2023-05-11,14,11,,,,,7.479091,10,8.227,,,19
2023-03-01,2023-03-31,"𝐢𝟓 𝟏𝟎𝟒𝟎𝟎𝐅 (𝟖𝐏𝐂𝐒) tattoo📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-02-14T01:31:37+0800,"7-day click or 1-day view",41,actions:onsite_conversion.messaging_conversation_started_7d,1820,3311,13.20439024,-,-,-,541.38,2023-05-11,76,51,1,541.38,,,10.615294,41,13.20439,,,60
2023-03-01,2023-03-31,"R5 3400G VIRAL",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-03-12T03:45:08+0800,"7-day click or 1-day view",8,actions:onsite_conversion.messaging_conversation_started_7d,492,1078,19.1225,-,-,-,152.98,2023-05-11,11,8,,,,,19.1225,8,19.1225,,,32
2023-03-01,2023-03-31,"ALDRIN BUILD",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-03-05T09:55:04+0800,"7-day click or 1-day view",56,actions:onsite_conversion.messaging_conversation_started_7d,1964,3807,8.47464286,-,-,-,474.58,2023-05-11,100,45,1,474.58,,,10.546222,56,8.474643,,,71
