"Date","Total Viewers","New Viewers","Returning Viewers"
"March 1","691","358","333"
"March 2","547","219","328"
"March 3","539","324","215"
"March 4","634","345","289"
"March 5","646","338","308"
"March 6","486","265","221"
"March 7","509","243","266"
"March 8","449","272","177"
"March 9","422","211","211"
"March 10","571","273","298"
"March 11","497","274","223"
"March 12","434","283","151"
"March 13","391","198","193"
"March 14","462","243","219"
"March 15","585","324","261"
"March 16","547","276","271"
"March 17","584","292","292"
"March 18","584","290","294"
"March 19","465","304","161"
"March 20","565","339","226"
"March 21","467","238","229"
"March 22","469","246","223"
"March 23","426","253","173"
"March 24","675","380","295"
"March 25","506","281","225"
"March 26","435","231","204"
"March 27","555","267","288"
"March 28","484","271","213"
"March 29","679","371","308"
"March 30","607","335","272"
"March 31","502","242","260"
