"Date","Followers","Difference in followers from previous day"
"May 1","20851","2"
"May 2","20853","2"
"May 3","20855","4"
"May 4","20859","3"
"May 5","20862","3"
"May 6","20865","4"
"May 7","20869","3"
"May 8","20872","2"
"May 9","20874","1"
"May 10","20875","3"
"May 11","20878","1"
"May 12","20879","4"
"May 13","20883","3"
"May 14","20886","3"
"May 15","20889","3"
"May 16","20892","3"
"May 17","20895","3"
"May 18","20898","1"
"May 19","20899","1"
"May 20","20900","3"
"May 21","20903","-14"
"May 22","20889","1"
"May 23","20890","3"
"May 24","20893","2"
"May 25","20895","2"
"May 26","20897","1"
"May 27","20898","3"
"May 28","20901","1"
"May 29","20902","1"
"May 30","20903","1"
"May 31","20904","1"
