"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-05-01,2023-05-31,"NEW 6 TRAD MABALACAT📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-13T18:29:53+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,240,419,18.5275,-,-,-,74.11,2023-07-14,8,3,,,,,24.703333,4,18.5275,,,9
2023-05-01,2023-05-31,"NEW 8 TRAD CAVITE📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-14T18:04:06+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,253,328,55.45,-,-,-,55.45,2023-07-14,1,0,,,,,55.45,1,55.45,,,7
2023-05-01,2023-05-31,"NEW 10+1 SAN MATEO RIZAL📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-13T16:15:30+0800,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,268,544,11.175,-,-,-,67.05,2023-07-14,10,8,,,,,8.38125,6,11.175,,,13
2023-05-01,2023-05-31,"NEW 8 MID BACOOR",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-24T10:57:15+0800,-,,,0,0,,-,-,-,0,2023-04-14,,,,,,,,,,,,
2023-05-01,2023-05-31,"BACK TO SCHOOL",inactive,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-27T07:16:13+0800,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,533,769,14.765,-,-,-,147.65,2023-07-14,23,18,,,,,8.202778,10,14.765,,,21
2023-05-01,2023-05-31,"R5 3400G Y68",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",15,actions:onsite_conversion.messaging_conversation_started_7d,1490,2645,22.60733333,-,-,-,339.11,2023-07-14,23,12,,,,,28.259167,15,22.607333,,,52
2023-05-01,2023-05-31,"R5 2600 1660S RGB",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",20,actions:onsite_conversion.messaging_conversation_started_7d,2157,4355,28.427,-,-,-,568.54,2023-07-14,41,24,2,284.27,,,23.689167,20,28.427,,,138
2023-05-01,2023-05-31,"BACK TO SCHOOL 2023📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-01T07:35:28+0800,"7-day click or 1-day view",7,actions:onsite_conversion.messaging_conversation_started_7d,733,1370,21.79428571,-,-,-,152.56,2023-07-14,10,4,,,,,38.14,7,21.794286,,,42
2023-05-01,2023-05-31,"BACK TO SCHOOL 2023📈",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-29T10:12:31+0800,-,,,0,0,,-,-,-,0,2023-04-14,,,,,,,,,,,,
2023-05-01,2023-05-31,"i5 10400F 1650 PINK VIRAL",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-02T02:03:27+0800,-,,,0,0,,-,-,-,0,2023-04-14,,,,,,,,,,,,
2023-05-01,2023-05-31,"DENNIS COMSHOP",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-11T03:59:37+0800,"7-day click or 1-day view",4,actions:onsite_conversion.messaging_conversation_started_7d,657,1254,34.4325,-,-,-,137.73,2023-07-14,5,4,,,,,34.4325,4,34.4325,,,20
2023-05-01,2023-05-31,"R3 3200G VIRAL",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-21T23:24:43+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,117,250,23.4,-,-,-,23.40,2023-07-14,1,1,,,,,23.4,1,23.4,,,4
2023-05-01,2023-05-31,"BERT COMSHOP",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-05-09T20:05:24+0800,-,,,0,0,,-,-,-,0,2023-04-14,,,,,,,,,,,,
2023-05-01,2023-05-31,"SUMMER SALE PC SET",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-24T07:15:47+0800,"7-day click or 1-day view",127,actions:onsite_conversion.messaging_conversation_started_7d,8447,16156,12.29401575,-,-,-,1561.34,2023-07-14,150,83,3,520.446667,,,18.811325,127,12.294016,,,437
2023-05-01,2023-05-31,"BACK TO SCHOOL 2023📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-20T02:58:36+0800,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,297,605,8.69333333,-,-,-,52.16,2023-07-14,14,10,,,,,5.216,6,8.693333,,,15
2023-05-01,2023-05-31,"BACK TO SCHOOL",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-06-08T16:02:39+0800,"7-day click or 1-day view",13,actions:onsite_conversion.messaging_conversation_started_7d,1791,3573,28.92692308,-,-,-,376.05,2023-07-14,29,12,1,376.05,,,31.3375,13,28.926923,,,71
2023-05-01,2023-05-31,"i5 10400F 1650 MID📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-04-17T04:15:22+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,100,130,26.98,-,-,-,26.98,2023-07-14,1,0,,,,,26.98,1,26.98,,,3
2023-05-01,2023-05-31,"BACK TO SCHOOL 2023📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",14,actions:onsite_conversion.messaging_conversation_started_7d,515,915,9.48428571,-,-,-,132.78,2023-07-14,29,17,,,,,7.810588,14,9.484286,,,18
