"Date","Total Viewers","New Viewers","Returning Viewers"
"May 1","502","242","260"
"May 2","465","272","193"
"May 3","536","268","268"
"May 4","567","299","268"
"May 5","391","241","150"
"May 6","685","330","355"
"May 7","629","283","346"
"May 8","496","274","222"
"May 9","473","216","257"
"May 10","375","175","200"
"May 11","518","224","294"
"May 12","374","214","160"
"May 13","407","223","184"
"May 14","566","386","180"
"May 15","513","259","254"
"May 16","457","245","212"
"May 17","307","150","157"
"May 18","531","300","231"
"May 19","554","300","254"
"May 20","584","323","261"
"May 21","404","228","176"
"May 22","424","246","178"
"May 23","538","268","270"
"May 24","498","303","195"
"May 25","425","210","215"
"May 26","425","241","184"
"May 27","391","188","203"
"May 28","359","177","182"
"May 29","390","200","190"
"May 30","399","185","214"
"May 31","374","171","203"
