"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-11-01,2023-11-30,"LEO 20K SALE",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-27T01:22:04+0800,"7-day click or 1-day view",19,actions:onsite_conversion.messaging_conversation_started_7d,1678,2574,20.82315789,-,-,-,395.64,2024-01-03,28,14,,,,,28.26,19,20.823158,,,61
2023-11-01,2023-11-30,"R5 5600G POSEIDON",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-20T07:50:20+0800,"7-day click or 1-day view",35,actions:onsite_conversion.messaging_conversation_started_7d,2114,4440,16.698,-,-,-,584.43,2024-01-03,52,41,1,584.43,,,14.25439,35,16.698,,,93
2023-11-01,2023-11-30,"R5 5600G 10PCS CP 11/22 BERT",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-12-06T22:24:47+0800,"7-day click or 1-day view",,,115,149,,-,-,-,22.74,2024-01-03,,,,,,,,,,,,3
2023-11-01,2023-11-30,"R5 5600G 1660S BUDGET KING",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-09T22:42:57+0800,-,,,0,0,,-,-,-,0,2023-09-26,,,,,,,,,,,,
2023-11-01,2023-11-30,"NEW 4 TRAD CALOOCAN📈",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-08T09:29:40+0800,-,,,0,0,,-,-,-,0,2023-09-26,,,,,,,,,,,,
2023-11-01,2023-11-30,"R5 5600G VIRAL",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-10T15:58:15+0800,"7-day click or 1-day view",17,actions:onsite_conversion.messaging_conversation_started_7d,1895,2779,19.40882353,-,-,-,329.95,2024-01-03,27,19,,,,,17.365789,17,19.408824,,,77
2023-11-01,2023-11-30,"NEW 4 HIGH MONTALBON",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-27T02:53:18+0800,"7-day click or 1-day view",46,actions:onsite_conversion.messaging_conversation_started_7d,1558,2582,8.485,-,-,-,390.31,2024-01-03,57,41,,,,,9.519756,46,8.485,,,58
2023-11-01,2023-11-30,"R5 5600G 1660S HIGHLIGHTS📈",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-12-09T08:20:57+0800,"7-day click or 1-day view",159,actions:onsite_conversion.messaging_conversation_started_7d,12136,19458,19.26578616,-,-,-,3063.26,2024-01-03,203,102,1,3063.26,,,30.031961,159,19.265786,,,505
2023-11-01,2023-11-30,"R5 5600G 1660S WHITE BUILD",inactive,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-23T04:03:49+0800,"7-day click or 1-day view",39,actions:onsite_conversion.messaging_conversation_started_7d,1648,3239,10.51897436,-,-,-,410.24,2024-01-03,60,47,1,410.24,,,8.728511,39,10.518974,,,66
2023-11-01,2023-11-30,"R5 4600G BUDGET KING",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-20T19:30:35+0800,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,201,332,19.68666667,-,-,-,59.06,2024-01-03,6,5,,,,,11.812,3,19.686667,,,7
2023-11-01,2023-11-30,"BERMONTHS 2023 COMSHOP📈",inactive,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-21T02:15:40+0800,"7-day click or 1-day view",36,actions:onsite_conversion.messaging_conversation_started_7d,5252,9033,35.22333333,-,-,-,1268.04,2024-01-03,40,22,1,1268.04,,,57.638182,36,35.223333,,,160
2023-11-01,2023-11-30,"NEW 6 HIGH TAYTAY📈",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-13T02:29:38+0800,-,,,0,0,,-,-,-,0,2023-09-26,,,,,,,,,,,,
2023-11-01,2023-11-30,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟑𝟒𝟎𝟎𝐆 (𝟖𝐏𝐂𝐒) bulacan📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",72,actions:onsite_conversion.messaging_conversation_started_7d,2192,3435,8.4975,-,-,-,611.82,2024-01-03,103,45,,,,,13.596,72,8.4975,,,114
2023-11-01,2023-11-30,"i3 12100F RX6600 4PCS CP 11/21 JAMES",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",106,actions:onsite_conversion.messaging_conversation_started_7d,6948,14078,18.17066038,-,-,-,1926.09,2024-01-03,144,63,2,963.045,,,30.572857,106,18.17066,,,247
2023-11-01,2023-11-30,"BERMONTHS 2023 GAMING📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-17T18:30:27+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,405,526,38.91,-,-,-,77.82,2024-01-03,3,1,,,,,77.82,2,38.91,,,12
2023-11-01,2023-11-30,"i3 12100F RX6600 BUDGET KING",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-22T01:30:46+0800,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,420,546,32.51666667,-,-,-,97.55,2024-01-03,4,2,,,,,48.775,3,32.516667,,,13
2023-11-01,2023-11-30,"R5 4600G 10PCS CP 11/28 PAU",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-02T16:59:28+0800,"7-day click or 1-day view",47,actions:onsite_conversion.messaging_conversation_started_7d,3663,5903,17.80510638,-,-,-,836.84,2024-01-03,53,26,,,,,32.186154,47,17.805106,,,124
2023-11-01,2023-11-30,"R5 5600G WHITE BUILD",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-09T21:24:18+0800,-,,,0,0,,-,-,-,0,2023-09-26,,,,,,,,,,,,
2023-11-01,2023-11-30,"R5 5600G 1660S VIRAL",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-21T10:02:44+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,103,133,27.98,-,-,-,27.98,2024-01-03,1,0,,,,,27.98,1,27.98,,,3
2023-11-01,2023-11-30,"NEW 10+1 LIPA",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-12-03T17:57:42+0800,"7-day click or 1-day view",707,actions:onsite_conversion.messaging_conversation_started_7d,51100,94551,18.29234795,-,-,-,12932.69,2024-01-03,926,574,3,4310.896667,,,22.530819,707,18.292348,,,2915
2023-11-01,2023-11-30,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟑𝟒𝟎𝟎𝐆 (𝟏𝟎𝐏𝐂𝐒) tattoo📈",inactive,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-20T03:26:30+0800,"7-day click or 1-day view",99,actions:onsite_conversion.messaging_conversation_started_7d,3965,8570,10.06343434,-,-,-,996.28,2024-01-03,122,93,1,996.28,,,10.712688,99,10.063434,,,225
2023-11-01,2023-11-30,"BERMONTHS 2023 LAPTOP📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-08T07:51:28+0800,"7-day click or 1-day view",6,actions:onsite_conversion.messaging_conversation_started_7d,475,617,22.795,-,-,-,136.77,2024-01-03,9,5,,,,,27.354,6,22.795,,,14
2023-11-01,2023-11-30,"R5 5600G 1660S HIGHLIGHTS📈",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-18T23:39:20+0800,"7-day click or 1-day view",291,actions:onsite_conversion.messaging_conversation_started_7d,23436,33509,19.83618557,-,-,-,5772.33,2024-01-03,375,187,3,1924.11,,,30.868075,291,19.836186,,,1015
2023-11-01,2023-11-30,"NEW 10+1 LIPA",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-22T10:42:40+0800,-,,,0,0,,-,-,-,0,2023-09-26,,,,,,,,,,,,
2023-11-01,2023-11-30,"R5 5600G BUDGET KING",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-12-01T16:53:23+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,354,460,68.78,-,-,-,68.78,2024-01-03,1,0,,,,,68.78,1,68.78,,,11
2023-11-01,2023-11-30,"i3 12100F RX6600 VIRAL",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-11T16:38:24+0800,"7-day click or 1-day view",28,actions:onsite_conversion.messaging_conversation_started_7d,1854,2812,12.415,-,-,-,347.62,2024-01-03,60,33,,,,,10.533939,28,12.415,,,82
2023-11-01,2023-11-30,"𝐢𝟓 𝟏𝟐𝟒𝟎𝟎𝐅 (𝟏𝟎𝐏𝐂𝐒) tattoo📈",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-23T19:08:52+0800,-,,,0,0,,-,-,-,0,2023-09-26,,,,,,,,,,,,
2023-11-01,2023-11-30,"MARK COMSHOP",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-15T19:33:27+0800,"7-day click or 1-day view",15,actions:onsite_conversion.messaging_conversation_started_7d,1637,3571,20.14733333,-,-,-,302.21,2024-01-03,25,19,,,,,15.905789,15,20.147333,,,58
