"Date","Total Viewers","New Viewers","Returning Viewers"
"November 1","646","418","228"
"November 2","974","519","455"
"November 3","656","383","273"
"November 4","1033","545","488"
"November 5","836","466","370"
"November 6","757","383","374"
"November 7","814","419","395"
"November 8","956","502","454"
"November 9","1035","522","513"
"November 10","1032","420","612"
"November 11","2055","1048","1007"
"November 12","1451","715","736"
"November 13","978","486","492"
"November 14","828","481","347"
"November 15","1032","522","510"
"November 16","843","460","383"
"November 17","1024","455","569"
"November 18","1146","569","577"
"November 19","799","422","377"
"November 20","837","399","438"
"November 21","558","260","298"
"November 22","890","454","436"
"November 23","738","407","331"
"November 24","879","433","446"
"November 25","958","554","404"
"November 26","958","502","456"
"November 27","845","505","340"
"November 28","717","385","332"
"November 29","719","384","335"
"November 30","912","504","408"
