"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-10-01,2023-10-31,"R5 5600G BLACK",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-25T23:25:29+0800,"7-day click or 1-day view",81,actions:onsite_conversion.messaging_conversation_started_7d,2746,4140,9.31135802,-,-,-,754.22,2024-01-23,93,51,,,,,14.788627,81,9.311358,,,76
2023-10-01,2023-10-31,"R5 4600G RESTOCK",archived,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-05T10:13:01+0800,"7-day click or 1-day view",330,actions:onsite_conversion.messaging_conversation_started_7d,12751,26365,10.23387879,-,-,-,3377.18,2024-01-23,458,247,3,1125.726667,,,13.672794,330,10.233879,,,678
2023-10-01,2023-10-31,"i3 12100F RX6600 VIRAL",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,712,1398,16.735,-,-,-,167.35,2024-01-23,16,7,1,167.35,,,23.907143,10,16.735,,,37
2023-10-01,2023-10-31,"DENNIS COMSHOP",inactive,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",76,actions:onsite_conversion.messaging_conversation_started_7d,5565,9892,14.75894737,-,-,-,1121.68,2024-01-23,105,75,2,560.84,,,14.955733,76,14.758947,,,242
2023-10-01,2023-10-31,"NEW 4 TRAD ANTIPOLO📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-11-06T12:01:30+0800,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,294,382,27.76,-,-,-,83.28,2024-01-23,4,2,,,,,41.64,3,27.76,,,9
2023-10-01,2023-10-31,"ALDRIN BUILD",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-23T03:59:49+0800,"7-day click or 1-day view",76,actions:onsite_conversion.messaging_conversation_started_7d,3071,4714,8.54342105,-,-,-,649.30,2024-01-23,181,87,3,216.433333,,,7.463218,76,8.543421,,,103
2023-10-01,2023-10-31,"i3 12100F RX6600 2PCS CP 10/05 LEO",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-13T01:00:05+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,100,210,14.07,-,-,-,28.14,2024-01-23,3,2,,,,,14.07,2,14.07,,,6
2023-10-01,2023-10-31,"NEW 4 HIGH DASMA📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-25T19:16:00+0800,"7-day click or 1-day view",3,actions:onsite_conversion.messaging_conversation_started_7d,332,431,28.17666667,-,-,-,84.53,2024-01-23,4,2,,,,,42.265,3,28.176667,,,10
2023-10-01,2023-10-31,"R5 5600G VIRAL",not_delivering,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-20T20:22:36+0800,"7-day click or 1-day view",66,actions:onsite_conversion.messaging_conversation_started_7d,5913,9932,18.34636364,-,-,-,1210.86,2024-01-23,80,58,,,,,20.876897,66,18.346364,,,184
2023-10-01,2023-10-31,"NEW 4 MID MARILAO📈",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-14T13:36:29+0800,-,,,0,0,,-,-,-,0,2023-08-26,,,,,,,,,,,,
2023-10-01,2023-10-31,"NEW 8 MID BACOOR📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-28T01:01:25+0800,"7-day click or 1-day view",10,actions:onsite_conversion.messaging_conversation_started_7d,668,1438,12.682,-,-,-,126.82,2024-01-23,16,13,,,,,9.755385,10,12.682,,,33
2023-10-01,2023-10-31,"R5 4600G 10PCS CP 10/08 BERT",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-13T02:15:54+0800,"7-day click or 1-day view",29,actions:onsite_conversion.messaging_conversation_started_7d,3138,5079,19.28448276,-,-,-,559.25,2024-01-23,48,35,,,,,15.978571,29,19.284483,,,122
2023-10-01,2023-10-31,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟖𝐏𝐂𝐒) tattoo📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-26T04:12:07+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,161,345,19.86,-,-,-,39.72,2024-01-23,3,2,,,,,19.86,2,19.86,,,8
