"Date","Total Viewers","New Viewers","Returning Viewers"
"October 1","817","443","374"
"October 2","582","298","284"
"October 3","638","342","296"
"October 4","575","297","278"
"October 5","562","268","294"
"October 6","599","326","273"
"October 7","790","342","448"
"October 8","723","302","421"
"October 9","681","352","329"
"October 10","1249","722","527"
"October 11","784","431","353"
"October 12","826","374","452"
"October 13","830","419","411"
"October 14","857","474","383"
"October 15","889","505","384"
"October 16","672","284","388"
"October 17","841","368","473"
"October 18","929","506","423"
"October 19","785","358","427"
"October 20","572","267","305"
"October 21","854","481","373"
"October 22","793","370","423"
"October 23","797","467","330"
"October 24","678","355","323"
"October 25","938","517","421"
"October 26","823","420","403"
"October 27","579","282","297"
"October 28","831","448","383"
"October 29","774","415","359"
"October 30","790","415","375"
"October 31","753","361","392"
