"Date","Followers","Difference in followers from previous day"
"September 1","21135","3"
"September 2","21138","3"
"September 3","21141","4"
"September 4","21145","3"
"September 5","21148","3"
"September 6","21151","-12"
"September 7","21139","4"
"September 8","21143","3"
"September 9","21146","8"
"September 10","21154","4"
"September 11","21158","2"
"September 12","21160","3"
"September 13","21163","2"
"September 14","21165","2"
"September 15","21167","3"
"September 16","21170","4"
"September 17","21174","1"
"September 18","21175","3"
"September 19","21178","1"
"September 20","21179","3"
"September 21","21182","2"
"September 22","21184","1"
"September 23","21185","3"
"September 24","21188","2"
"September 25","21190","1"
"September 26","21191","2"
"September 27","21193","3"
"September 28","21196","3"
"September 29","21199","1"
"September 30","21200","3"
