"Reporting starts","Reporting ends","Ad name","Ad delivery","Ad set name",Bid,"Bid type","Ad set budget","Ad set budget type","Last significant edit","Attribution setting",Results,"Result indicator",Reach,Impressions,"Cost per results","Quality ranking","Engagement rate ranking","Conversion rate ranking","Amount spent (PHP)",Ends,"Total messaging contacts","New messaging contacts",Purchases,"Cost per purchase (PHP)","Purchases conversion value","Purchase ROAS (return on ad spend)","Cost per new messaging contact (PHP)","Messaging conversations started","Cost per messaging conversation started (PHP)","Orders created","Orders shipped","Link clicks"
2023-09-01,2023-09-30,"DARVS COMSHOP",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-03T18:32:52+0800,"7-day click or 1-day view",2,actions:onsite_conversion.messaging_conversation_started_7d,307,399,31.725,-,-,-,63.45,2023-11-12,3,1,,,,,63.45,2,31.725,,,9
2023-09-01,2023-09-30,"DARVS COMSHOP",archived,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-08-18T06:45:33+0800,"7-day click or 1-day view",63,actions:onsite_conversion.messaging_conversation_started_7d,5813,10239,15.66079365,-,-,-,986.63,2023-11-12,73,42,,,,,23.49119,63,15.660794,,,309
2023-09-01,2023-09-30,"R5 5600G 1660S 8PCS CP 09/24 PAU",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-03T00:24:03+0800,"7-day click or 1-day view",62,actions:onsite_conversion.messaging_conversation_started_7d,2066,4139,8.45467742,-,-,-,524.19,2023-11-12,154,91,3,174.73,,,5.76033,62,8.454677,,,68
2023-09-01,2023-09-30,"R5 5600G 4PCS CP 09/25 JAMES",not_delivering,"IMG BROCHURE PERSONAL AND COMSHOP",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-08-25T23:51:55+0800,"7-day click or 1-day view",64,actions:onsite_conversion.messaging_conversation_started_7d,4531,9542,15.32046875,-,-,-,980.51,2023-11-12,86,63,,,,,15.563651,64,15.320469,,,248
2023-09-01,2023-09-30,"R5 4600G HIGHLIGHTS📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-16T17:26:49+0800,"7-day click or 1-day view",33,actions:onsite_conversion.messaging_conversation_started_7d,2286,4022,17.5930303,-,-,-,580.57,2023-11-12,48,35,,,,,16.587714,33,17.59303,,,101
2023-09-01,2023-09-30,"i3 12100F RX6600 Y68",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-08-30T14:15:19+0800,"7-day click or 1-day view",,,108,140,,-,-,-,23.08,2023-11-12,,,,,,,,,,,,3
2023-09-01,2023-09-30,"BERMONTHS 2023 ALL PC SET📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-21T00:38:17+0800,"7-day click or 1-day view",16,actions:onsite_conversion.messaging_conversation_started_7d,938,1338,15.79375,-,-,-,252.70,2023-11-12,29,15,,,,,16.846667,16,15.79375,,,38
2023-09-01,2023-09-30,"R5 5600G 1660S WHITE BUILD",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-07T03:00:17+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,107,233,22.34,-,-,-,22.34,2023-11-12,1,1,,,,,22.34,1,22.34,,,5
2023-09-01,2023-09-30,"BERMONTHS 2023 GAMING📈",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-08T22:23:37+0800,"7-day click or 1-day view",15,actions:onsite_conversion.messaging_conversation_started_7d,1066,1604,15.89333333,-,-,-,238.40,2023-11-12,31,21,,,,,11.352381,15,15.893333,,,46
2023-09-01,2023-09-30,"BERMONTHS 2023 GAMING📈",not_delivering,"VIDEO REELS",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-22T00:04:47+0800,-,,,0,0,,-,-,-,0,2023-08-08,,,,,,,,,,,,
2023-09-01,2023-09-30,"R5 5600G 1660S 2PCS CP 09/12 DENNIS",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-19T20:15:44+0800,"7-day click or 1-day view",5,actions:onsite_conversion.messaging_conversation_started_7d,357,464,18.252,-,-,-,91.26,2023-11-12,8,4,,,,,22.815,5,18.252,,,11
2023-09-01,2023-09-30,"BERMONTHS 2023 LAPTOP📈",inactive,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-08-15T23:56:10+0800,"7-day click or 1-day view",134,actions:onsite_conversion.messaging_conversation_started_7d,5740,11289,13.05559701,-,-,-,1749.45,2023-11-12,160,112,,,,,15.620089,134,13.055597,,,251
2023-09-01,2023-09-30,"NEW 10+1 QC📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-08-16T15:57:29+0800,"7-day click or 1-day view",21,actions:onsite_conversion.messaging_conversation_started_7d,2341,3492,26.84619048,-,-,-,563.77,2023-11-12,28,14,,,,,40.269286,21,26.84619,,,103
2023-09-01,2023-09-30,"BERMONTHS 2023 ALL PC SET📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,0,"7-day click or 1-day view",11,actions:onsite_conversion.messaging_conversation_started_7d,1886,3407,47.31909091,-,-,-,520.51,2023-11-12,15,12,,,,,43.375833,11,47.319091,,,69
2023-09-01,2023-09-30,"R5 5600G POSEIDON",archived,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-28T05:59:41+0800,"7-day click or 1-day view",1,actions:onsite_conversion.messaging_conversation_started_7d,174,226,47.16,-,-,-,47.16,2023-11-12,1,0,,,,,47.16,1,47.16,,,5
2023-09-01,2023-09-30,"NEW 4 HIGH BACOOR",inactive,"BERMONTHS REELS AND VIDEO",0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-09-24T21:04:29+0800,"7-day click or 1-day view",65,actions:onsite_conversion.messaging_conversation_started_7d,3814,7428,11.65907692,-,-,-,757.84,2023-11-12,80,41,1,757.84,,,18.483902,65,11.659077,,,189
2023-09-01,2023-09-30,"JOSH PACKAGE📈",not_delivering,ENGAGEMENT,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-08-13T23:14:40+0800,"7-day click or 1-day view",42,actions:onsite_conversion.messaging_conversation_started_7d,2928,4940,19.20452381,-,-,-,806.59,2023-11-12,45,25,,,,,32.2636,42,19.204524,,,109
2023-09-01,2023-09-30,"𝐑𝐘𝐙𝐄𝐍 𝟓 𝟓𝟔𝟎𝟎𝐆 (𝟖𝐏𝐂𝐒) north cal📈",not_delivering,TESTER,0,ABSOLUTE_OCPM,"Using campaign budget",0,2023-10-05T05:21:22+0800,"7-day click or 1-day view",28,actions:onsite_conversion.messaging_conversation_started_7d,1705,3307,13.73321429,-,-,-,384.53,2023-11-12,50,37,,,,,10.392703,28,13.733214,,,102
