"Date","Total Viewers","New Viewers","Returning Viewers"
"September 1","1400","822","578"
"September 2","1271","610","661"
"September 3","1192","626","566"
"September 4","832","399","433"
"September 5","762","450","312"
"September 6","661","357","304"
"September 7","794","386","408"
"September 8","1173","543","630"
"September 9","1542","921","621"
"September 10","1011","579","432"
"September 11","751","422","329"
"September 12","602","352","250"
"September 13","646","437","209"
"September 14","827","495","332"
"September 15","862","419","443"
"September 16","809","509","300"
"September 17","475","285","190"
"September 18","679","368","311"
"September 19","751","378","373"
"September 20","615","288","327"
"September 21","597","335","262"
"September 22","685","326","359"
"September 23","758","430","328"
"September 24","635","314","321"
"September 25","628","344","284"
"September 26","608","278","330"
"September 27","631","305","326"
"September 28","750","313","437"
"September 29","556","297","259"
"September 30","946","472","474"
